training_method: curriculum_full_batch
first_order_epochs_completed: 12000
checkpoint_selection: final_lbfgs_float32_endpoint
checkpoint_source: lbfgs_float32_endpoint
adamw_train_loss_reconstruction: 1.701645902e-03
adamw_train_loss_prediction: 8.073108620e-04
adamw_train_loss_semiconjugacy: 3.314042697e-04
adamw_train_loss_total: 2.840361092e-03
adamw_holdout_loss_reconstruction: 2.107051900e-03
adamw_holdout_loss_prediction: 1.158335246e-03
adamw_holdout_loss_semiconjugacy: 3.653485910e-04
adamw_holdout_loss_total: 3.630735679e-03
train_loss_reconstruction: 1.583365491e-03
train_loss_prediction: 7.151705795e-04
train_loss_semiconjugacy: 2.499961120e-04
train_loss_total: 2.548532095e-03
val_loss_reconstruction: 2.027936513e-03
val_loss_prediction: 1.050283085e-03
val_loss_semiconjugacy: 2.684269857e-04
val_loss_total: 3.346646437e-03
lbfgs_closure_evaluations: 133
lbfgs_internal_iterations: 120
validation_used_for_optimization: false
validation_used_for_checkpoint_selection: false
scheduler_used: false
early_stopping_used: false
